Venus,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1450304.5,1450305.149,1450305.272,-742,9,20,18.53778,177.53303,0.99773,169.65677,92.28352,0,98.37696,-5.09831
EL,1450564.5,1450565.184,1450565.308,-741,6,7,19.38806,74.8353,-1.76959,67.41895,115.58236,0,120.79317,-5.57219
MF,1450577.5,1450577.556,1450577.679,-741,6,20,4.30139,67.47954,-4.34462,79.20643,248.80159,0,237.48373,-5.32993
ML,1450827.5,1450827.644,1450827.768,-740,2,25,6.42611,318.24349,-1.37756,328.54383,290.34494,0,281.24141,-5.03123
EF,1450886.5,1450887.161,1450887.285,-740,4,24,18.82861,31.56764,-0.31944,26.20019,104.27419,0,105.85083,-5.14121
EL,1451155.5,1451156.113,1451156.237,-739,1,18,17.67861,294.24002,7.51601,291.92886,72.95946,0,67.08632,-5.23484
MF,1451157.5,1451157.659,1451157.783,-739,1,20,6.78306,293.26556,7.70574,293.48276,287.0099,0,292.42068,-5.49898
ML,1451424.5,1451424.613,1451424.737,-739,10,14,5.68333,188.64274,1.10213,193.54146,272.94912,0,273.19491,-5.01487
EF,1451476.5,1451477.099,1451477.222,-739,12,5,17.33694,254.71571,-0.78794,247.01509,61.2757,0,67.16302,-5.03444
EL,1451723.5,1451724.184,1451724.307,-738,8,9,19.37389,147.31762,-7.51825,128.23454,96.60796,0,116.35167,-5.47377
MF,1451742.5,1451742.583,1451742.706,-738,8,28,4.94639,137.51834,-8.62699,146.28087,260.91015,0,250.19625,-6.02172
ML,1451993.5,1451993.579,1451993.702,-737,5,6,4.85278,26.16334,-0.93217,36.3995,258.75683,0,249.78683,-5.03841
EF,1452050.5,1452051.19,1452051.314,-737,7,2,19.53167,96.96489,1.11765,91.30237,120.0244,0,122.84541,-5.03702
EL,1452320.5,1452321.151,1452321.275,-736,3,28,18.59667,5.05796,6.77445,0.26944,99.87248,0,94.00686,-5.86779
MF,1452324.5,1452324.609,1452324.732,-736,4,1,5.57972,2.88574,6.3027,3.60981,261.69789,0,264.47673,-5.70524
ML,1452591.5,1452591.656,1452591.78,-736,12,24,6.7125,259.77328,-0.46493,266.20256,298.93906,0,295.08931,-5.17404
