Jupiter,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
CS,1445890.5,1445891.575,1445891.699,-754,8,21,4.77222,312.00714,-1.5919,139.26353,67.51165,-0.5667,246.68044,-6.81488
EL,1446070.5,1446071.139,1446071.262,-753,2,16,18.29389,328.14971,-1.187,320.29657,74.28336,-0.5667,77.29871,-7.91802
MF,1446105.5,1446105.607,1446105.73,-753,3,23,5.52222,336.37522,-1.20724,354.0541,282.12185,-0.5667,266.67672,-9.38054
AR,1446277.5,1446278.162,1446278.286,-753,9,11,18.85444,350.5212,-1.80769,160.35758,276.17174,-0.5667,103.75184,-6.4546
CS,1446292.5,1446293.597,1446293.72,-753,9,27,5.28583,348.44351,-1.80325,175.77794,82.84077,-0.5667,263.32686,-6.96938
EL,1446473.5,1446474.156,1446474.28,-752,3,25,18.70806,4.65219,-1.11571,357.25192,91.39399,-0.5667,93.74259,-7.67455
MF,1446509.5,1446509.567,1446509.691,-752,4,30,4.57667,12.95139,-1.09555,31.26662,264.6209,-0.5667,248.57099,-9.59914
AR,1446678.5,1446679.129,1446679.252,-752,10,16,18.05139,26.28363,-1.34934,196.24671,258.7882,-0.5667,86.319,-6.2181
CS,1446692.5,1446693.62,1446693.743,-752,10,31,5.83611,24.31796,-1.32349,210.97002,100.36759,-0.5667,280.26908,-6.21444
EL,1446875.5,1446876.173,1446876.296,-751,5,1,19.10583,39.9851,-0.6312,32.56335,107.73724,-0.5667,110.41977,-7.51848
MF,1446907.5,1446907.544,1446907.667,-751,6,2,4.01528,47.14876,-0.58474,62.43486,249.55872,-0.5667,237.06474,-9.4785
AR,1447077.5,1447078.107,1447078.231,-751,11,19,17.53611,60.47094,-0.43582,230.59842,245.2766,-0.5667,72.38694,-6.30978
CS,1447092.5,1447093.639,1447093.763,-751,12,5,6.30722,58.38171,-0.39643,246.45922,114.20725,-0.5667,291.40303,-7.02113
EL,1447274.5,1447275.192,1447275.316,-750,6,4,19.58194,73.26344,0.04843,64.73243,118.01929,-0.5667,122.22611,-7.99684
MF,1447303.5,1447303.539,1447303.662,-750,7,3,3.89639,79.56944,0.09809,91.78279,241.10603,-0.5667,232.97411,-9.71669
AR,1447475.5,1447476.105,1447476.228,-750,12,22,17.47194,92.78026,0.56724,264.01413,240.02997,-0.5667,65.67919,-6.16857
CS,1447490.5,1447491.656,1447491.78,-749,1,7,6.71333,90.72073,0.60399,279.79616,120.05138,-0.5667,293.99938,-6.23265
EL,1447672.5,1447673.201,1447673.324,-749,7,7,19.78472,105.04036,0.68918,96.01736,119.0713,-0.5667,124.84955,-7.54568
MF,1447698.5,1447698.553,1447698.676,-749,8,2,4.22528,110.57807,0.72516,120.48237,241.8151,-0.5667,237.74738,-9.63508
AR,1447871.5,1447872.121,1447872.244,-748,1,22,17.86778,123.8039,1.35696,295.14546,244.3099,-0.5667,68.87522,-6.91979
CS,1447889.5,1447890.65,1447890.773,-748,2,10,6.55444,121.40728,1.38396,313.65247,116.41656,-0.5667,286.17792,-6.3175
EL,1448067.5,1448068.195,1448068.318,-748,8,5,19.63028,135.32516,1.11516,124.75645,111.54289,-0.5667,119.36184,-7.79153
MF,1448093.5,1448093.573,1448093.696,-748,8,31,4.71444,140.83526,1.13274,149.648,250.54868,-0.5667,249.17745,-9.34592
