Venus,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1454661.709,-730,8,25,5.01194,135.50424,-8.68291,143.4264,260.49076,0,250.09807,-5.47664
ML,1454915.705,-729,5,6,4.91139,26.89155,-0.90024,36.51024,258.66932,0,250.41829,-5.04167
EF,1454970.309,-729,6,29,19.41306,93.98814,1.0653,88.53305,119.35845,0,121.76333,-5.01206
EL,1455241.271,-728,3,26,18.50944,2.67787,6.9289,358.43734,98.68241,0,92.36728,-5.11165
MF,1455243.737,-728,3,29,5.69556,1.12575,6.6144,0.8226,262.38845,0,266.4068,-5.26689
ML,1455512.777,-728,12,23,6.64056,259.24493,-0.46266,265.28484,298.15937,0,294.74993,-5.0099
EF,1455561.251,-727,2,9,18.03583,319.79304,-1.42396,314.0704,70.67486,0,73.44239,-5.20878
EL,1455816.246,-727,10,22,17.91222,218.47057,-5.14616,202.30058,67.15936,0,83.1466,-5.70096
MF,1455830.746,-727,11,6,5.89917,210.44617,-2.03936,217.05047,286.07451,0,282.77958,-6.07796
ML,1456095.696,-726,7,29,4.69222,111.99942,1.11606,117.08248,242.74298,0,241.615,-5.08043
EF,1456141.278,-726,9,12,18.66917,168.91923,1.15443,161.84293,96.44045,0,101.57499,-5.01037
EL,1456405.301,-725,6,3,19.21917,70.14142,-1.28562,63.76517,114.79564,0,118.6882,-5.21463
MF,1456416.683,-725,6,15,4.39583,63.32795,-3.72737,74.60169,249.45693,0,238.95483,-5.55547
ML,1456668.768,-724,2,22,6.42861,315.92092,-1.36075,325.74894,290.6918,0,282.21555,-5.17421
EF,1456726.28,-724,4,19,18.73056,26.82333,-0.4394,21.5742,101.80387,0,103.1796,-5.0851
EL,1456995.237,-723,1,13,17.68944,289.60183,7.11356,287.05568,72.0457,0,66.61477,-5.25738
MF,1456997.778,-723,1,16,6.67639,288.00909,7.45978,289.61666,287.79988,0,292.50441,-6.01388
ML,1457263.734,-723,10,9,5.61472,183.75688,1.17672,188.6472,270.5107,0,271.03799,-5.00193
