Venus,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
EF,1452643.257,-735,2,13,18.16667,324.08736,-1.40729,317.98015,72.73375,-0.5667,75.43722,-6.22301
EL,1452898.243,-735,10,26,17.83361,220.3222,-4.59121,206.29742,67.42786,-0.5667,81.32249,-5.56348
MF,1452910.748,-735,11,8,5.94222,213.22658,-1.76946,219.03056,286.57897,-0.5667,283.65438,-5.88521
ML,1453173.691,-734,7,29,4.59194,111.30307,1.09486,117.00466,242.24167,-0.5667,240.77152,-6.18371
EF,1453226.275,-734,9,19,18.61083,177.00166,1.00017,168.75003,92.82803,-0.5667,99.04721,-6.09531
EL,1453485.305,-733,6,5,19.31056,72.4619,-1.53341,65.60206,115.27049,-0.5667,119.71811,-6.01613
MF,1453496.682,-733,6,17,4.37361,65.6365,-3.95743,76.43645,248.85465,-0.5667,238.56515,-5.72736
ML,1453746.765,-732,2,22,6.34944,315.24372,-1.35138,325.68313,290.5618,-0.5667,281.6406,-6.18275
EF,1453808.285,-732,4,23,18.85139,31.06047,-0.3215,25.34032,104.08256,-0.5667,105.53727,-6.10888
EL,1454075.242,-731,1,15,17.80694,292.22665,7.2535,289.01427,73.02296,-0.5667,67.60366,-6.36682
MF,1454077.777,-731,1,18,6.65833,290.63394,7.59026,291.56652,286.86805,-0.5667,292.03687,-6.21251
ML,1454341.73,-731,10,9,5.52111,183.06655,1.19862,188.57799,269.81929,-0.5667,270.28941,-6.18704
EF,1454398.229,-731,12,4,17.50028,254.19081,-0.78769,246.09709,62.45375,-0.5667,68.38311,-6.14485
EL,1454645.305,-730,8,8,19.31417,144.50112,-7.62709,127.35634,97.78275,-0.5667,115.84677,-5.58839
MF,1454661.707,-730,8,25,4.96722,135.50529,-8.68302,143.42457,260.14232,-0.5667,249.7309,-6.0138
ML,1454911.704,-729,5,2,4.90611,21.99683,-1.02409,32.69499,260.5903,-0.5667,251.32115,-6.03673
EF,1454973.314,-729,7,2,19.53417,97.69843,1.14216,91.40875,119.64376,-0.5667,122.68353,-6.19331
EL,1455241.273,-728,3,26,18.55389,2.67672,6.92869,358.43913,99.0297,-0.56669,92.71635,-5.68167
MF,1455243.735,-728,3,29,5.65111,1.12692,6.61466,0.82081,262.04055,-0.5667,266.05822,-5.83616
ML,1455510.772,-728,12,21,6.52528,256.72926,-0.38705,263.24466,297.40241,-0.5667,293.95748,-6.11482
EF,1455562.255,-727,2,10,18.11639,321.03961,-1.42023,315.06678,71.51989,-0.5667,74.29214,-6.04671
EL,1455817.245,-727,10,23,17.88306,218.05218,-4.99711,203.3147,67.86474,-0.5667,82.61247,-5.55441
MF,1455830.744,-727,11,6,5.85333,210.44726,-2.03986,217.04852,285.71918,-0.5667,282.43788,-6.64989
ML,1456093.691,-726,7,27,4.57833,109.51124,1.06641,115.14107,241.9439,-0.5667,240.40116,-6.08561
EF,1456145.278,-726,9,16,18.67,173.93141,1.05741,165.82825,94.3351,-0.5667,100.39626,-6.06081
EL,1456405.303,-725,6,3,19.2675,70.14024,-1.28609,63.76709,115.17511,-0.5667,119.09441,-5.75907
MF,1456416.681,-725,6,15,4.34861,63.32898,-3.72702,74.59982,249.08798,-0.5667,238.55725,-6.07171
ML,1456666.766,-724,2,20,6.37917,313.44203,-1.33478,323.77213,291.17529,-0.5667,282.39021,-6.19046
EF,1456728.285,-724,4,21,18.83833,29.28535,-0.36355,23.49343,103.28918,-0.5667,104.75723,-6.18204
EL,1456995.239,-723,1,13,17.73556,289.60063,7.11385,287.05762,72.40565,-0.5667,66.95138,-5.8016
MF,1456997.776,-723,1,16,6.63028,288.01029,7.45956,289.61472,287.44047,-0.5667,292.17079,-6.56134
ML,1457261.729,-723,10,7,5.50667,181.2325,1.22111,186.62414,268.93082,-0.5667,269.44049,-6.07104
EF,1457317.229,-723,12,1,17.49528,251.10115,-0.71609,243.09847,63.03457,-0.5667,68.95939,-6.00645
EL,1457565.305,-722,8,6,19.32417,142.05051,-7.55323,125.4705,98.78836,-0.5667,116.32692,-5.44346
MF,1457581.704,-722,8,23,4.90278,132.9687,-8.66483,141.51377,259.28841,-0.5667,248.64945,-6.47268
ML,1457830.707,-721,4,29,4.96389,18.99697,-1.08248,29.89399,261.99617,-0.5667,252.50357,-6.05892
EF,1457892.313,-721,6,29,19.50972,94.67067,1.09047,88.59609,119.75053,-0.5667,122.57031,-6.05912
EL,1458161.271,-720,3,24,18.49972,0.31056,7.08049,356.56062,98.0732,-0.5667,91.54087,-5.21262
MF,1458163.736,-720,3,27,5.66306,358.75192,6.77443,358.94664,262.99081,-0.5667,266.697,-6.24601
ML,1458430.771,-720,12,19,6.50778,254.88503,-0.34511,261.25834,297.10651,-0.5667,293.8475,-6.05853
EF,1458482.254,-719,2,8,18.09861,319.22365,-1.4259,313.13595,70.82276,-0.5667,73.68257,-6.12921
EL,1458736.247,-719,10,20,17.935,215.76054,-5.37914,200.31986,68.36638,-0.5667,83.94179,-5.55697
MF,1458749.745,-719,11,3,5.87889,208.23737,-2.56345,214.04063,285.35117,-0.5667,281.75695,-5.7971
ML,1459012.689,-718,7,24,4.53333,106.45951,1.00994,112.28927,241.51082,-0.5667,239.69137,-6.19754
EF,1459064.28,-718,9,13,18.7275,170.84365,1.11098,162.88887,95.84078,-0.5667,101.74191,-6.0278
EL,1459325.301,-717,6,1,19.22139,67.79818,-1.03703,61.91596,115.0327,-0.5667,118.43027,-5.4828
MF,1459336.68,-717,6,13,4.325,61.01098,-3.49386,72.74837,249.36118,-0.5667,238.58334,-6.41251
ML,1459586.767,-716,2,18,6.40667,311.62279,-1.317,321.84177,291.77782,-0.5667,283.13261,-6.19924
EF,1459648.284,-716,4,19,18.82444,27.49245,-0.4053,21.62839,102.48038,-0.5667,103.96216,-6.25571
EL,1459915.236,-715,1,11,17.66194,286.9426,6.96616,285.082,71.82116,-0.5667,66.31275,-5.22759
MF,1459917.775,-715,1,14,6.59833,285.35661,7.32044,287.64406,287.97927,-0.5667,292.27339,-6.92683
ML,1460180.727,-715,10,4,5.45917,178.12307,1.26211,183.6446,267.42043,-0.5667,267.9513,-6.20538
EF,1460237.229,-715,11,29,17.50583,249.252,-0.67834,241.10015,63.40802,-0.5667,69.47077,-6.07167
EL,1460485.306,-714,8,4,19.33333,139.59927,-7.47073,123.58278,99.78277,-0.5667,116.79405,-5.30199
MF,1460501.702,-714,8,21,4.83889,130.44029,-8.6381,139.60129,258.45617,-0.5667,247.58233,-6.91407
ML,1460749.709,-713,4,26,5.02222,15.99377,-1.13734,27.08681,263.41554,-0.5667,253.70644,-6.08555
EF,1460812.313,-713,6,27,19.50694,92.87697,1.06255,86.74141,119.78519,-0.5667,122.58824,-6.12959
EL,1461080.273,-712,3,21,18.55917,358.55173,7.32344,353.71281,97.50296,-0.5667,90.87075,-6.32259
MF,1461082.74,-712,3,24,5.75972,356.99834,7.05877,356.10357,263.51245,-0.5667,268.28764,-5.84951
ML,1461349.769,-712,12,16,6.45694,251.79167,-0.26396,258.2612,296.54533,-0.5667,293.45299,-6.2591
EF,1461402.253,-711,2,6,18.08083,317.41182,-1.43022,311.20598,70.13825,-0.5667,73.08852,-6.21324
EL,1461655.25,-711,10,17,17.99056,213.48359,-5.73691,197.34305,68.90934,-0.5667,85.29254,-5.57587
MF,1461669.741,-711,11,1,5.79222,205.48432,-2.82508,212.06616,284.44249,-0.5667,280.50726,-6.55456
