Saturn,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
MF,1444844.705,-757,10,9,4.92234,174.8611,2.3375,187.85732,264.7302,-0.5667,265.29607,-13.75601
AR,1445005.28,-756,3,17,18.72709,179.52885,2.86085,349.51121,266.3721,-0.5667,90.5166,-8.99416
CS,1445033.712,-756,4,15,5.081,177.4481,2.85099,16.94989,94.59957,-0.5667,256.90989,-8.22151
EL,1445191.289,-756,9,19,18.93457,182.83298,2.34339,169.10441,91.51618,-0.5667,101.56003,-10.26865
MF,1445220.712,-756,10,19,5.09878,186.29045,2.34053,198.75039,270.11087,-0.5667,270.76113,-13.22476
AR,1445383.282,-755,3,30,18.76759,190.90494,2.81325,1.86771,271.75338,-0.5667,95.78019,-8.00089
CS,1445410.701,-755,4,27,4.81839,188.91361,2.79464,28.18946,89.15088,-0.5667,251.74582,-8.27189
EL,1445568.278,-755,10,1,18.67161,194.24936,2.26136,180.89232,86.11365,-0.5667,95.77553,-10.11182
MF,1445597.717,-755,10,31,5.20762,197.69154,2.25202,210.70469,275.46096,-0.5667,275.7056,-13.76774
AR,1445759.289,-754,4,10,18.94044,202.27309,2.65627,12.23449,277.06403,-0.5667,101.31441,-8.91109
CS,1445786.693,-754,5,8,4.62078,200.28994,2.6329,38.44505,83.78709,-0.5667,247.54945,-8.0518
EL,1445944.27,-754,10,12,18.47402,205.44284,2.09357,191.73413,80.94413,-0.5667,90.78242,-10.39334
MF,1445973.724,-754,11,11,5.37068,208.8772,2.07698,221.67472,280.5353,-0.5667,280.17968,-13.5241
AR,1446136.293,-753,4,22,19.04152,213.47291,2.40033,23.51575,282.06909,-0.5667,106.44488,-8.69825
CS,1446162.685,-753,5,19,4.43413,211.56611,2.3726,48.68547,78.67408,-0.5667,243.66118,-8.06734
EL,1446321.26,-753,10,24,18.23517,216.69225,1.84537,203.64005,76.04157,-0.5667,85.18077,-10.11148
MF,1446349.731,-753,11,22,5.53839,220.0117,1.82381,232.66302,285.25037,-0.5667,284.01373,-13.28785
AR,1446513.298,-752,5,3,19.14928,224.63848,2.05461,34.74737,286.66807,-0.5667,111.21715,-8.45885
CS,1446538.678,-752,5,29,4.27298,222.80373,2.02365,58.91121,73.94848,-0.5667,240.27133,-8.24167
EL,1446697.254,-752,11,3,18.0889,227.81872,1.52837,214.58564,71.64816,-0.5667,80.71947,-10.36839
MF,1446726.736,-752,12,3,5.65852,231.26088,1.50106,244.6814,289.49611,-0.5667,286.85776,-13.81442
AR,1446890.303,-751,5,15,19.26758,235.8306,1.63031,45.95053,290.71069,-0.5667,115.48722,-8.24122
CS,1446914.673,-751,6,9,4.15195,234.06391,1.59726,69.14221,69.7619,-0.5667,237.57136,-8.50336
EL,1447074.247,-751,11,15,17.92975,239.10247,1.15013,226.57235,67.84102,-0.5667,76.10982,-10.08948
MF,1447102.743,-751,12,14,5.84387,242.4448,1.11966,255.66519,293.02789,-0.5667,289.07514,-13.24255
AR,1447267.308,-750,5,27,19.39557,247.11135,1.14018,57.14832,294.02649,-0.5667,119.10187,-8.09066
CS,1447289.673,-750,6,19,4.15548,245.47931,1.10799,78.44911,66.27398,-0.5667,236.47725,-8.03777
EL,1447450.245,-750,11,26,17.88885,250.36464,0.72534,237.55433,64.87033,-0.5667,73.00879,-10.52544
MF,1447479.749,-750,12,26,5.97602,253.84582,0.69047,267.63634,295.72964,-0.5667,290.0139,-13.1595
AR,1447644.314,-749,6,8,19.52682,258.54458,0.59886,68.34349,296.42795,-0.5667,121.91279,-8.06578
CS,1447665.673,-749,6,30,4.15734,256.97467,0.56655,88.72719,63.70854,-0.5667,235.74978,-8.12204
EL,1447827.244,-749,12,8,17.85946,261.88876,0.26474,249.5623,62.87015,-0.5667,70.27282,-10.45893
MF,1447857.752,-748,1,8,6.04346,265.51672,0.22659,280.57655,297.3869,-0.5667,289.40931,-13.38937
