Almagest Saturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-749,12,22,20.22796,-748,4,19,11.3332,-748,6,28,9.4099,-748,9,6,9.29374,1447841.34283,1447959.97222,1448029.89208,1448099.88724,265.53659,270.03778,266.38735,265.53659,274.90844,274.01051,24.04299,22.4619,271.37738,276.35202,90.3736,91.37738,267.83523,278.69606,157.98128,160.36708
-747,1,2,23.95438,-747,5,1,23.07417,-747,7,10,15.99722,-747,9,18,11.13797,1448218.4981,1448337.46142,1448407.16655,1448476.96408,277.27413,282.66816,278.57676,277.27413,286.77271,286.65207,35.71496,34.52858,283.23241,288.98639,101.81868,103.23241,279.67867,291.32381,169.71232,172.02732
-746,1,15,9.66307,-746,5,14,17.89915,-746,7,23,5.06396,-746,9,30,18.80547,1448595.90263,1448715.2458,1448784.711,1448854.28356,289.25735,295.30689,290.95883,289.25734,298.90582,299.30352,47.61963,46.88618,295.35354,301.6298,113.57728,115.35354,291.7858,303.95969,181.78553,183.92671
-745,1,28,2.29697,-745,5,27,20.38442,-745,8,5,1.4425,-745,10,13,9.35345,1448973.59571,1449093.34935,1449162.5601,1449231.88973,301.52497,307.95528,303.55083,301.52497,311.34186,311.96565,59.79612,59.55838,307.77494,314.28342,125.70302,127.77494,304.1911,316.60517,194.24611,196.10867
-744,2,10,2.56176,-744,6,9,6.80234,-744,8,17,5.69472,-744,10,25,7.58928,1449351.60674,1449471.78343,1449540.73728,1449609.81622,314.10598,320.61431,316.36179,314.10598,324.10353,324.63886,72.27518,72.55636,320.51971,326.94802,138.23943,140.51971,316.91821,329.26137,207.12372,208.60635
-743,2,22,10.85749,-743,6,23,1.06241,-743,8,30,18.04044,-743,11,7,14.00496,1449729.9524,1449850.54427,1449919.25169,1449988.08354,327.0168,333.28456,329.3912,327.0168,337.19912,337.323,85.07689,85.87641,333.59686,339.62392,151.21556,153.59686,329.97712,341.92899,220.42784,221.43997
-742,3,8,3.20576,-742,7,7,2.6512,-742,9,13,14.28607,-742,11,21,4.69385,1450108.63357,1450229.61047,1450298.09525,1450366.69558,340.25833,345.96604,342.62794,340.25833,350.61955,350.01738,98.20771,99.49743,346.99845,352.31083,164.6407,166.99845,343.36117,354.60816,234.14276,234.61335
-741,3,22,3.18288,-741,7,21,10.59437,-741,9,27,17.76633,-741,12,5,3.28702,1450487.63262,1450608.94143,1450677.24026,1450745.63696,353.81316,358.65816,356.04931,353.81316,4.33611,2.72062,111.65762,113.37941,0.69715,5.00785,178.49886,180.69715,357.04451,7.29835,248.22435,248.11134
-740,4,4,9.87522,-740,8,3,23.45611,-740,10,11,3.31849,-740,12,18,8.9087,1450866.91147,1450988.47734,1451056.63827,1451124.8712,7.64378,11.35966,9.62079,7.64377,18.29946,15.43072,125.39782,127.46339,14.6452,17.71333,192.74411,194.64521,10.9809,19.99835,262.59951,261.89798
-739,4,18,21.87735,-739,8,18,15.38845,-739,10,25,17.3091,-738,1,1,20.17683,1451246.41156,1451368.14119,1451436.22121,1451504.3407,21.69245,24.06856,23.29672,21.69245,32.44103,28.14511,139.37953,141.67347,28.77554,30.42501,207.29863,208.77554,25.10455,32.70623,277.16961,275.91651
-738,5,3,13.35136,-738,9,2,8.25824,-738,11,9,9.72789,-737,1,16,11.27622,1451626.05631,1451747.84409,1451815.90533,1451883.96984,35.88371,36.78231,37.0225,35.88371,46.67707,40.86081,153.53545,155.92205,43.0056,43.14008,222.05531,223.0056,39.33368,45.41946,291.81883,290.09239
-737,5,18,6.15447,-737,9,16,23.81528,-737,11,24,2.34595,-736,1,31,4.07722,1452005.75644,1452127.4923,1452195.59775,1452263.66988,50.12955,49.49791,50.7383,50.12955,60.91543,53.57467,167.7833,170.11672,57.24385,55.85542,236.88581,237.24385,53.57691,58.13506,306.42486,304.33815
-736,5,31,22.02242,-736,9,30,11.89675,-736,12,7,16.91608,-735,2,13,20.33443,1452385.4176,1452506.9957,1452575.20484,1452643.34727,64.33699,62.21221,64.38395,64.33699,75.06385,66.28368,182.03205,184.16865,71.39798,68.56791,251.65343,251.39799,67.74143,70.8499,320.87202,318.56157
-735,6,15,10.77665,-735,10,14,18.6217,-735,12,22,3.3766,-734,2,28,9.87843,1452764.94903,1452886.2759,1452954.64069,1453022.9116,78.41655,74.92217,77.90419,78.41655,89.03834,78.98523,196.18981,198.0006,85.38335,81.27466,266.22789,265.38335,81.74148,83.56096,335.06151,332.67357
