Mercury,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
MF,1435143.722,-783,3,18,5.32861,327.55615,-0.53943,349.4963,284.90046,-0.5667,266.85297,-13.29864
ML,1435174.705,-783,4,18,4.91972,0.44445,-2.22904,19.37494,271.83185,-0.5667,254.91957,-9.50737
EF,1435201.312,-783,5,14,19.48361,55.14204,1.72665,44.76901,115.16005,-0.5667,117.07224,-10.90781
EL,1435246.334,-783,6,28,20.02556,105.08219,-3.62259,87.66219,113.13827,-0.5667,127.22288,-11.55031
MF,1435269.66,-783,7,22,3.83306,93.49926,-2.03592,110.08051,243.98995,-0.5667,233.16648,-13.375
ML,1435289.685,-783,8,11,4.44528,120.2935,1.74603,129.53004,243.5305,-0.5667,241.7193,-9.79109
EF,1435335.285,-783,9,25,18.84639,195.06776,-1.97241,174.67518,81.17647,-0.5667,99.1187,-10.6466
EL,1435354.27,-783,10,14,18.48694,214.51371,-2.50512,193.81748,72.07327,-0.5667,90.20512,-11.05019
MF,1435372.72,-783,11,2,5.28056,200.14388,2.19166,212.55824,276.62769,-0.5667,276.82842,-13.16847
ML,1435414.754,-783,12,14,6.10667,244.68885,-1.01794,255.46043,296.06431,-0.5667,290.8617,-10.06826
EF,1435446.257,-782,1,14,18.17139,299.03828,-1.20739,287.4126,64.60351,-0.5667,70.0412,-10.93034
EL,1435469.271,-782,2,6,18.50361,320.89137,3.58439,310.46746,77.05112,-0.5667,75.95979,-11.5298
MF,1435485.739,-782,2,23,5.74194,309.02013,1.81331,326.77225,289.05355,-0.5667,276.81496,-13.66315
ML,1435523.72,-782,4,2,5.28861,344.79861,-2.33366,3.78571,279.27442,-0.5667,262.31489,-9.56617
EF,1435550.302,-782,4,28,19.25639,39.17679,1.46747,29.28341,109.34709,-0.5667,110.31755,-10.52061
EL,1435594.328,-782,6,11,19.87417,86.05176,-3.12301,71.20727,114.68254,-0.5667,125.32595,-11.43873
MF,1435619.655,-782,7,7,3.71917,77.28078,-2.35704,95.41016,245.05609,-0.5667,231.54238,-13.00547
ML,1435637.675,-782,7,25,4.19222,102.74236,1.40806,112.76395,240.51207,-0.5667,236.75798,-9.97163
EF,1435674.308,-782,8,30,19.39139,166.94082,-0.60779,148.56713,95.80969,-0.5667,111.31666,-10.58634
EL,1435701.286,-782,9,26,18.86361,197.9945,-3.01193,175.43694,78.71142,-0.5667,99.02311,-11.07121
MF,1435722.709,-782,10,18,5.01917,183.72518,1.67155,197.05039,269.62336,-0.5667,269.51207,-13.99401
ML,1435760.744,-782,11,25,5.86639,226.10463,-0.39187,235.80769,289.95168,-0.5667,286.93146,-9.80111
EF,1435795.249,-782,12,29,17.98333,283.41664,-1.59986,270.97674,61.14947,-0.5667,68.57125,-10.70902
EL,1435817.263,-781,1,20,18.31,303.97705,3.16601,293.21361,71.00585,-0.5667,71.54686,-11.76798
MF,1435830.75,-781,2,3,6.00472,292.15107,3.11811,306.71697,291.84136,-0.5667,284.15943,-13.36466
ML,1435872.735,-781,3,17,5.63,329.38235,-2.33252,348.06791,286.11676,-0.5667,269.64729,-9.84047
EF,1435900.297,-781,4,13,19.13861,25.14167,1.24828,14.68834,103.27724,-0.5667,103.91593,-11.07433
EL,1435941.318,-781,5,24,19.6325,66.4193,-2.12893,53.83737,113.46896,-0.5667,120.55212,-11.2095
MF,1435972.653,-781,6,25,3.66361,64.15899,-1.89447,83.68736,246.73946,-0.5667,231.50929,-13.10084
ML,1435985.667,-781,7,8,4.01833,84.91275,0.86231,96.14453,240.536,-0.5667,234.3383,-9.99481
