Mercury,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EF,1434156.5,1434157.215,1434157.338,-786,7,5,20.11599,107.10243,1.67315,94.07283,119.98734,-0.5667,128.12494,-10.91798
EL,1434196.5,1434197.203,1434197.326,-786,8,14,19.82389,156.85116,-3.43648,132.78398,97.48936,-0.5667,119.46912,-11.23558
MF,1434220.5,1434220.563,1434220.686,-786,9,7,4.47132,142.46841,-0.28024,155.80124,252.82363,-0.5667,248.94146,-13.33601
ML,1434247.5,1434247.592,1434247.715,-786,10,4,5.16553,173.82472,1.45476,182.83409,265.0528,-0.5667,264.94567,-9.69118
EF,1434293.5,1434294.122,1434294.246,-786,11,19,17.8932,247.02192,-2.18875,230.11594,61.34332,-0.5667,75.25189,-10.53317
EL,1434311.5,1434312.123,1434312.246,-786,12,7,17.91205,262.43059,0.81621,248.50014,62.83789,-0.5667,71.22281,-11.76695
MF,1434325.5,1434325.622,1434325.745,-786,12,21,5.88862,248.62938,3.5059,262.2582,292.04587,-0.5667,289.02595,-14.31012
ML,1434370.5,1434370.641,1434370.764,-785,2,4,6.33883,292.23955,-2.00798,307.65599,298.59064,-0.5667,285.96819,-9.72678
EF,1434397.5,1434398.155,1434398.279,-785,3,3,18.69137,345.03858,0.13932,334.85642,83.36786,-0.5667,85.09067,-10.60479
EL,1434428.5,1434429.172,1434429.295,-785,4,3,19.08114,15.46001,2.12726,4.99662,100.12461,-0.5667,99.99703,-11.24102
ML,1434476.5,1434476.551,1434476.674,-785,5,21,4.17825,32.19149,-1.66549,50.29346,256.59606,-0.5667,240.76315,-9.63353
EF,1434503.5,1434504.21,1434504.334,-785,6,17,20.0069,88.26592,1.87786,76.62637,121.65375,-0.5667,127.27696,-10.94664
EL,1434546.5,1434547.212,1434547.335,-785,7,30,20.04535,140.63899,-3.60345,117.94138,104.08149,-0.5667,124.5181,-11.31865
MF,1434570.5,1434570.551,1434570.674,-785,8,23,4.17494,126.18248,-0.83351,140.72945,247.64914,-0.5667,241.53838,-13.8223
ML,1434593.5,1434593.579,1434593.702,-785,9,15,4.85998,154.15648,1.81934,163.53206,255.42407,-0.5667,255.14751,-10.11166
EF,1434643.5,1434644.13,1434644.254,-785,11,4,18.08463,233.49417,-2.35232,214.57144,64.77018,-0.5667,81.06234,-10.62671
EL,1434659.5,1434660.124,1434660.248,-785,11,20,17.94139,246.68273,-0.35637,230.89035,63.65794,-0.5667,75.42058,-11.19815
MF,1434674.5,1434674.613,1434674.737,-785,12,5,5.67948,232.18246,3.23054,245.69155,288.21695,-0.5667,286.61029,-14.35847
ML,1434719.5,1434719.644,1434719.768,-784,1,19,6.42746,277.7413,-1.79685,291.39208,300.40213,-0.5667,290.07912,-9.73398
EF,1434747.5,1434748.15,1434748.273,-784,2,16,18.56105,330.86144,-0.21669,319.83732,76.54072,-0.5667,79.24691,-11.26032
EL,1434774.5,1434775.162,1434775.286,-784,3,14,18.8608,356.48171,3.18805,346.3478,92.16797,-0.5667,90.73188,-11.08898
ML,1434823.5,1434823.566,1434823.689,-784,5,2,4.53727,12.86756,-2.2834,32.93337,265.96784,-0.5667,247.82114,-9.60191
EF,1434851.5,1434852.201,1434852.324,-784,5,30,19.78151,70.8269,1.85865,60.19659,119.85894,-0.5667,123.45573,-10.74717
EL,1434896.5,1434897.215,1434897.339,-784,7,14,20.12743,123.3714,-3.73646,103.21449,109.72587,-0.5667,127.42725,-11.0782
