Jupiter,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1452877.716,-735,10,6,5.18361,175.54358,1.21367,185.50441,266.60048,0,266.48582,-10.03311
AR,1453054.274,-734,3,31,18.57361,188.42662,1.63108,2.7399,272.21342,0,94.59491,-5.41626
CS,1453069.722,-734,4,16,5.31667,186.47497,1.61239,17.60465,88.67918,0,258.6344,-5.07979
EL,1453240.276,-734,10,3,18.63417,198.93583,0.96227,182.79996,82.23887,0,94.88341,-10.15211
MF,1453273.732,-734,11,6,5.55833,206.41764,0.92196,216.72707,281.10282,0,280.16058,-10.30761
AR,1453452.287,-733,5,3,18.88194,219.88143,1.01026,34.16928,286.46765,0,108.80475,-5.31032
CS,1453466.695,-733,5,18,4.67889,218.05836,0.97836,47.89178,74.19242,0,245.89076,-5.37858
EL,1453638.253,-733,11,5,18.06056,231.11211,0.40023,215.99036,68.92445,0,80.10008,-10.26013
MF,1453670.751,-733,12,8,6.02861,238.59497,0.34386,249.16942,293.33348,0,289.90985,-10.0167
AR,1453852.302,-732,6,6,19.24167,252.94108,0.03268,67.26771,296.75927,0,119.35333,-5.04742
CS,1453864.682,-732,6,19,4.37,251.35252,-0.00054,79.06873,63.45795,0,238.26402,-5.71423
