Saturn,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
CS,1439339.5,1439340.593,1439340.716,-772,9,13,5.19556,337.00709,-2.684,162.39104,76.13347,0,257.65227,-5.81985
EL,1439506.5,1439507.155,1439507.278,-771,2,26,18.68157,342.3007,-2.24299,330.53227,79.07475,0,83.53086,-11.12877
MF,1439549.5,1439549.582,1439549.706,-771,4,10,4.94184,347.70454,-2.27291,11.74555,278.40478,0,256.79714,-11.03552
AR,1439708.5,1439709.154,1439709.278,-771,9,16,18.66625,351.59509,-2.86245,165.70168,277.1908,0,100.61206,-5.5883
CS,1439718.5,1439719.601,1439719.724,-771,9,27,5.3838,350.74635,-2.86456,176.16313,82.39909,0,264.28211,-5.83003
EL,1439885.5,1439886.163,1439886.286,-770,3,12,18.87166,356.12963,-2.32648,344.00864,85.58269,0,89.92899,-11.55927
MF,1439929.5,1439929.568,1439929.691,-770,4,25,4.58621,1.7092,-2.34235,25.87682,271.74053,0,249.96785,-11.00365
AR,1440087.5,1440088.142,1440088.266,-770,9,30,18.37416,5.6716,-2.88173,179.47243,270.42442,0,94.07475,-5.78119
CS,1440097.5,1440098.609,1440098.733,-770,10,11,5.58776,4.81206,-2.87947,190.0288,89.1653,0,271.12924,-5.62478
EL,1440265.5,1440266.169,1440266.292,-769,3,27,19.01886,10.32505,-2.27168,358.35236,92.46764,0,96.80119,-11.39734
MF,1440309.5,1440309.553,1440309.676,-769,5,10,4.23451,15.93968,-2.27141,39.94828,264.88931,0,243.43644,-11.27162
AR,1440466.5,1440467.13,1440467.254,-769,10,14,18.09139,19.99341,-2.72426,193.34158,263.52106,0,87.52356,-5.97269
CS,1440477.5,1440478.616,1440478.739,-769,10,26,5.73818,19.04358,-2.71647,204.99242,96.05323,0,277.58389,-6.35674
EL,1440645.5,1440646.176,1440646.299,-768,4,10,19.183,24.68593,-2.07624,12.58301,99.31333,0,103.88598,-11.40592
MF,1440688.5,1440688.542,1440688.665,-768,5,23,3.96754,30.19412,-2.05819,53.03063,258.26824,0,238.24958,-11.40706
AR,1440846.5,1440847.117,1440847.24,-768,10,28,17.76938,34.37639,-2.39344,208.31128,256.90099,0,80.40403,-5.50082
CS,1440856.5,1440857.626,1440857.749,-768,11,8,5.98135,33.50327,-2.38188,219.0152,102.75358,0,283.72922,-5.92357
EL,1441025.5,1441026.183,1441026.307,-767,4,25,19.36607,39.12579,-1.74962,26.73002,105.72892,0,110.79034,-11.46269
MF,1441066.5,1441066.535,1441066.659,-767,6,5,3.80565,44.38171,-1.71583,65.16262,252.25695,0,234.64174,-11.33346
AR,1441225.5,1441226.109,1441226.232,-767,11,11,17.56824,48.87086,-1.9103,222.32223,250.91596,0,74.80666,-5.60613
CS,1441236.5,1441237.634,1441237.757,-767,11,23,6.17011,47.91321,-1.8936,234.08758,108.77912,0,288.60941,-6.45492
EL,1441405.5,1441406.192,1441406.315,-766,5,10,19.56177,53.55059,-1.31337,40.82482,111.29407,0,117.06831,-11.43434
MF,1441444.5,1441444.531,1441444.655,-766,6,18,3.7087,58.53441,-1.26862,77.32107,247.20356,0,232.14689,-11.43765
AR,1441604.5,1441605.103,1441605.227,-766,11,25,17.43798,63.27609,-1.30972,236.36293,246.04108,0,70.20851,-5.67345
CS,1441615.5,1441616.645,1441616.768,-766,12,7,6.43398,62.31987,-1.2904,248.14889,113.7515,0,292.52825,-5.84343
EL,1441785.5,1441786.2,1441786.323,-765,5,25,19.75081,67.86629,-0.79877,54.87848,115.58834,0,122.21503,-11.22323
