Mars,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
AR,1456136.5,1456137.163,1456137.286,-726,9,8,18.87403,342.80588,-4.63346,157.83429,282.95587,-0.5667,104.62296,-6.01827
CS,1456144.5,1456145.594,1456145.717,-726,9,17,5.20685,340.02229,-4.18326,166.22596,76.23901,-0.5667,259.12766,-6.33284
EL,1456440.5,1456441.225,1456441.348,-725,7,9,20.35984,115.92038,1.18494,98.1504,117.59297,-0.5667,130.21586,-13.2465
MF,1456540.5,1456540.582,1456540.706,-725,10,17,4.93963,181.84179,0.68318,196.14719,269.76776,-0.5667,268.0096,-14.78225
AR,1456913.5,1456914.122,1456914.245,-724,10,24,17.88855,36.16587,0.02566,204.56602,253.03263,-0.5667,82.49063,-6.17284
CS,1456926.5,1456927.624,1456927.747,-724,11,7,5.92817,30.96632,0.62392,218.30963,105.47176,-0.5667,283.12444,-6.42062
EL,1457198.5,1457199.216,1457199.34,-723,8,5,20.15106,146.00983,0.91114,124.73147,107.08044,-0.5667,124.2943,-13.32899
MF,1457323.5,1457323.614,1457323.738,-723,12,8,5.70513,234.45851,-0.30973,249.70222,293.08735,-0.5667,287.20611,-14.66152
AR,1457681.5,1457682.104,1457682.227,-722,12,1,17.44858,75.20402,2.95112,242.80695,238.06814,-0.5667,68.87925,-6.20087
CS,1457696.5,1457697.649,1457697.772,-722,12,17,6.53705,69.07999,3.36278,258.66729,121.38578,-0.5667,293.83559,-6.23922
EL,1457965.5,1457966.185,1457966.309,-721,9,11,19.41093,184.15798,0.18697,160.61577,88.57237,-0.5667,108.6105,-13.22675
MF,1458183.5,1458183.564,1458183.687,-720,4,16,4.48761,350.25169,-1.00792,18.11973,275.4208,-0.5667,251.00467,-14.52809
AR,1458446.5,1458447.113,1458447.236,-719,1,4,17.66715,109.23284,4.38239,277.94197,237.00497,-0.5667,66.41614,-7.0679
CS,1458464.5,1458465.654,1458465.778,-719,1,23,6.66163,102.05082,4.51073,296.63593,124.27635,-0.5667,290.8757,-6.77008
EL,1458776.5,1458777.128,1458777.252,-719,11,30,18.04416,259.95811,-1.02199,242.07534,60.7776,-0.5667,73.54657,-13.24784
MF,1458959.5,1458959.524,1458959.647,-718,6,1,3.53659,36.95041,-0.16005,61.48651,252.92799,-0.5667,232.51818,-14.52678
AR,1459213.5,1459214.131,1459214.255,-717,2,10,18.11037,143.31317,4.47764,314.59832,247.69755,-0.5667,74.35829,-6.62079
CS,1459232.5,1459233.635,1459233.758,-717,3,2,6.19997,135.99474,4.18268,333.85846,114.88611,-0.5667,277.95995,-6.5537
EL,1459595.5,1459596.163,1459596.286,-716,2,27,18.87309,344.39241,-0.65196,331.19135,82.19451,-0.5667,85.28845,-13.42347
MF,1459718.5,1459718.517,1459718.641,-716,6,29,3.37978,68.8343,0.55884,88.66526,242.14235,-0.5667,227.94849,-14.59047
AR,1459986.5,1459987.15,1459987.274,-715,3,24,18.56991,183.48832,2.63776,356.31085,268.41983,-0.5667,92.21886,-6.07063
CS,1460003.5,1460004.597,1460004.72,-715,4,11,5.28844,177.34596,1.92043,13.14306,93.75842,-0.5667,259.4096,-6.36409
EL,1460379.5,1460380.188,1460380.311,-714,4,21,19.4665,36.07807,0.31695,23.0659,107.26642,-0.5667,110.40115,-13.20676
