Modern Saturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-727,9,28,16.97495,-726,1,24,8.06286,-726,4,5,3.80148,-726,6,14,1.27939,1455792.12419,1455909.75285,1455980.57529,1456050.47021,179.73637,174.83308,178.01387,179.73637,188.8767,178.7733,297.44352,295.67664,185.48252,181.14565,7.03759,5.48252,182.23405,183.48693,73.76214,74.37419
-726,10,10,13.03626,-725,2,4,22.15817,-725,4,16,22.03104,-725,6,26,4.35791,1456168.96008,1456286.34016,1456357.33486,1456427.59848,191.16331,187.456,189.69411,191.1633,200.20124,191.38789,308.78889,306.85856,196.83423,193.76601,18.10592,16.83423,193.58408,196.11964,85.09842,86.08931
-725,10,22,5.75832,-724,2,16,12.83348,-724,4,27,13.57196,-724,7,7,2.94128,1456545.65683,1456662.95163,1456733.9824,1456804.53945,202.4531,200.07425,201.29412,202.4531,211.41722,204.00329,320.08134,318.0643,208.07552,206.38262,29.01967,28.07552,204.81835,208.74607,96.29435,97.61983
-724,11,1,20.44469,-723,2,27,4.28066,-723,5,9,3.73746,-723,7,18,21.35471,1456922.26876,1457039.59526,1457110.57263,1457181.30668,213.65929,212.68967,212.85172,213.65929,222.57921,216.61977,331.32471,329.30173,219.26032,218.9973,39.84635,39.26032,215.99016,221.36669,107.38381,108.97908
-723,11,13,10.43919,-722,3,10,20.62088,-722,5,20,17.88586,-722,7,30,14.45147,1457298.85186,1457416.2761,1457487.16214,1457558.01904,224.83707,225.30412,224.41554,224.83707,233.74337,229.23749,342.53297,340.57585,230.44442,231.61197,50.64788,50.44442,227.15515,233.98547,118.47374,120.28427
-722,11,25,1.08817,-721,3,22,16.17052,-721,6,1,9.36555,-721,8,11,8.20434,1457675.46224,1457793.09067,1457863.80713,1457934.75875,236.04173,237.91948,236.02462,236.04173,244.96676,241.85969,353.80052,351.98177,241.68319,244.22849,61.49623,61.68319,238.37007,246.60516,129.65243,131.6164
-721,12,6,17.75159,-720,4,2,17.75681,-720,6,12,3.589,-720,8,22,2.34479,1458052.15655,1458170.15677,1458240.56644,1458311.5146,247.32912,250.53765,247.71323,247.32912,256.3074,254.49032,5.22962,3.63561,253.03465,256.84884,72.4605,73.03465,249.69366,259.2254,140.92765,142.96445
-720,12,17,13.88837,-719,4,15,1.76032,-719,6,24,2.014,-719,9,2,21.4287,1458428.99558,1458547.49024,1458617.50081,1458688.30976,258.75915,263.16067,259.53456,258.75915,267.82451,267.1299,16.85338,15.55299,264.55866,269.47506,83.61222,84.55866,261.18621,271.84695,152.32065,154.35124
-719,12,29,14.93653,-718,4,27,15.9011,-718,7,6,6.01128,-718,9,14,20.10317,1458806.03925,1458925.07944,1458994.66737,1459065.25453,270.39089,275.79055,271.53228,270.39089,279.57553,279.77805,28.67826,27.72243,276.31151,282.10905,95.02339,96.31151,272.90458,284.47352,163.94212,165.88549
-717,1,10,22.18023,-717,5,10,13.56104,-717,7,18,16.78949,-717,9,27,0.68897,1459183.34107,1459302.98194,1459372.11646,1459442.44561,282.27707,288.42907,283.74315,282.27707,291.61075,292.4367,40.75391,40.20066,288.34285,294.75251,106.75299,108.34285,284.89979,297.10833,175.88922,177.66252
-716,1,23,12.72659,-716,5,22,20.21971,-716,7,30,11.33986,-716,10,8,11.41336,1459560.94717,1459681.25939,1459749.88939,1459819.89245,294.46316,301.07779,296.19518,294.46316,303.9713,305.1079,53.15811,53.04846,300.69338,307.40681,118.86736,120.69338,297.21534,309.75171,188.16859,189.69165
